index,English,Indonesian,ParseTree,Complexity,English_normalized,Indonesian_normalized
2910,I don't want to think about that again.,Aku tidak mau memikirkan itu lagi.,(S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB want) (S (VP (TO to) (VP (VB think) (PP (IN about) (NP (DT that))) (ADVP (RB again))))))) (. .)),simple,i don t want to think about that again .,aku tidak mau memikirkan itu lagi .
1317,He drove the truck to Dallas.,Ia membawa truknya ke Dallas.,(S (NP (PRP He)) (VP (VBD drove) (NP (DT the) (NN truck)) (PP (IN to) (NP (NNP Dallas)))) (. .)),simple,he drove the truck to dallas .,ia membawa truknya ke dallas .
4197,Japanese companies generally provide their employees with uniforms.,Perusahan Jepang umumnya menyediakan seragam untuk para karyawannya.,(S (NP (JJ Japanese) (NNS companies)) (ADVP (RB generally)) (VP (VBP provide) (NP (PRP$ their) (NNS employees)) (PP (IN with) (NP (NNS uniforms)))) (. .)),simple,japanese companies generally provide their employees with uniforms .,perusahan jepang umumnya menyediakan seragam untuk para karyawannya .
3244,I feel like going for a walk this morning.,Saya merasa ingin berjalan-jalan pagi ini.,(S (NP (PRP I)) (VP (VBP feel) (PP (IN like) (S (VP (VBG going) (PP (IN for) (NP (DT a) (NN walk))) (NP (DT this) (NN morning)))))) (. .)),simple,i feel like going for a walk this morning .,saya merasa ingin berjalan jalan pagi ini .
1208,Something leaked in the bag.,Ada yang bocor di dalam tas.,(S (NP (NN Something)) (VP (VBD leaked) (PP (IN in) (NP (DT the) (NN bag)))) (. .)),simple,something leaked in the bag .,ada yang bocor di dalam tas .
4112,"Tom Jackson was convicted, sentenced to death, and executed.","Tom Jackson dinyatakan bersalah, dijatuhi hukuman mati, dan dieksekusi.","(S (NP (NNP Tom) (NNP Jackson)) (VP (VBD was) (VP (VP (VBN convicted)) (, ,) (VP (VBN sentenced) (PP (IN to) (NP (NN death)))) (, ,) (CC and) (VP (VBN executed)))) (. .))",simple,tom jackson was convicted sentenced to death and executed .,tom jackson dinyatakan bersalah dijatuhi hukuman mati dan dieksekusi .
3295,We were directly in the path of the storm.,Kami berada tepat di jalur badai.,(S (NP (PRP We)) (VP (VBD were) (ADVP (RB directly)) (PP (IN in) (NP (NP (DT the) (NN path)) (PP (IN of) (NP (DT the) (NN storm)))))) (. .)),simple,we were directly in the path of the storm .,kami berada tepat di jalur badai .
3732,Let's see if Tom can manage to do it by himself.,Mari kita lihat apakah Tom bisa mengurusnya sendiri atau tidak.,(S (VP (VB Let) (S (NP (PRP 's)) (VP (VB see) (SBAR (IN if) (S (NP (NNP Tom)) (VP (MD can) (VP (VB manage) (S (VP (TO to) (VP (VB do) (NP (PRP it)) (PP (IN by) (NP (PRP himself))))))))))))) (. .)),complex,let s see if tom can manage to do it by himself .,mari kita lihat apakah tom bisa mengurusnya sendiri atau tidak .
1239,Tom is with his parents now.,Tom sekarang bersama orang tuanya.,(S (NP (NNP Tom)) (VP (VBZ is) (PP (IN with) (NP (PRP$ his) (NNS parents))) (ADVP (RB now))) (. .)),simple,tom is with his parents now .,tom sekarang bersama orang tuanya .
275,I walked up the hill.,Aku menapaki bukit.,(S (NP (PRP I)) (VP (VBD walked) (PP (IN up) (NP (DT the) (NN hill)))) (. .)),simple,i walked up the hill .,aku menapaki bukit .
489,She has a lot of money.,Dia punya banyak uang.,(S (NP (PRP She)) (VP (VBZ has) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN money))))) (. .)),simple,she has a lot of money .,dia punya banyak uang .
3567,British people are used to standing in queues.,Orang Inggris terbiasa untuk berdiri untuk mengantri.,(S (NP (JJ British) (NNS people)) (VP (VBP are) (VP (VBN used) (PP (IN to) (S (VP (VBG standing) (PP (IN in) (NP (NNS queues)))))))) (. .)),simple,british people are used to standing in queues .,orang inggris terbiasa untuk berdiri untuk mengantri .
1229,Tom escaped from the danger.,Tom terhindar dari bahaya.,(S (NP (NNP Tom)) (VP (VBD escaped) (PP (IN from) (NP (DT the) (NN danger)))) (. .)),simple,tom escaped from the danger .,tom terhindar dari bahaya .
3741,There are many Japanese restaurants in New York.,Ada banyak restoran Jepang di New York.,(S (NP (EX There)) (VP (VBP are) (NP (JJ many) (JJ Japanese) (NNS restaurants)) (PP (IN in) (NP (NNP New) (NNP York)))) (. .)),simple,there are many japanese restaurants in new york .,ada banyak restoran jepang di new york .
2997,All of her books are written in Italian.,Semua bukunya ditulis dalam bahasa Italia.,(S (NP (NP (DT All)) (PP (IN of) (NP (PRP$ her) (NNS books)))) (VP (VBP are) (VP (VBN written) (PP (IN in) (NP (NNP Italian))))) (. .)),simple,all of her books are written in italian .,semua bukunya ditulis dalam bahasa italia .
4023,He claimed that he had returned the book to the library.,Dia mengatakan kalau dia sudah mengembalikan bukunya ke perpustakaan.,(S (NP (PRP He)) (VP (VBD claimed) (SBAR (IN that) (S (NP (PRP he)) (VP (VBD had) (VP (VBN returned) (NP (DT the) (NN book)) (PP (IN to) (NP (DT the) (NN library)))))))) (. .)),complex,he claimed that he had returned the book to the library .,dia mengatakan kalau dia sudah mengembalikan bukunya ke perpustakaan .
3372,The Nile is the longest river in the world.,Sungai Nil adalah sungai terpanjang di dunia.,(S (NP (DT The) (NNP Nile)) (VP (VBZ is) (NP (NP (DT the) (JJS longest) (NN river)) (PP (IN in) (NP (DT the) (NN world))))) (. .)),simple,the nile is the longest river in the world .,sungai nil adalah sungai terpanjang di dunia .
1058,Many young men went to war.,Banyak pemuda ikut perang.,(S (NP (JJ Many) (JJ young) (NNS men)) (VP (VBD went) (PP (IN to) (NP (NN war)))) (. .)),simple,many young men went to war .,banyak pemuda ikut perang .
2166,Everyone was dressed like a clown.,Semua orang berdandan seperti badut.,(S (NP (NN Everyone)) (VP (VBD was) (VP (VBN dressed) (PP (IN like) (NP (DT a) (NN clown))))) (. .)),simple,everyone was dressed like a clown .,semua orang berdandan seperti badut .
281,I'm scared of snakes.,Aku takut ular.,(S (NP (PRP I)) (VP (VBP 'm) (ADJP (VBN scared) (PP (IN of) (NP (NNS snakes))))) (. .)),simple,i m scared of snakes .,aku takut ular .
2650,I bought a magazine at the bookstore.,Saya beli majalah di toko buku.,(S (NP (PRP I)) (VP (VBD bought) (NP (DT a) (NN magazine)) (PP (IN at) (NP (DT the) (NN bookstore)))) (. .)),simple,i bought a magazine at the bookstore .,saya beli majalah di toko buku .
1316,He beat the dog with a stick.,Dia memukul anjing itu dengan tongkat.,(S (NP (PRP He)) (VP (VBD beat) (NP (DT the) (NN dog)) (PP (IN with) (NP (DT a) (NN stick)))) (. .)),simple,he beat the dog with a stick .,dia memukul anjing itu dengan tongkat .
968,What kind of soup is this?,Ini sop jenis apa?,(SBARQ (WHNP (WHNP (WP What) (NN kind)) (PP (IN of) (NP (NN soup)))) (SQ (VBZ is) (NP (DT this))) (. ?)),simple,what kind of soup is this ?,ini sop jenis apa ?
2899,He was hit by a car and died instantly.,Dia tertabrak mobil dan tewas di tempat.,(S (NP (PRP He)) (VP (VP (VBD was) (VP (VBN hit) (PP (IN by) (NP (DT a) (NN car))))) (CC and) (VP (VBD died) (ADVP (RB instantly)))) (. .)),simple,he was hit by a car and died instantly .,dia tertabrak mobil dan tewas di tempat .
2339,He was brave in the face of danger.,Dia begitu berani di hadapan mara bahaya.,(S (NP (PRP He)) (VP (VBD was) (ADJP (JJ brave)) (PP (IN in) (NP (NP (DT the) (NN face)) (PP (IN of) (NP (NN danger)))))) (. .)),simple,he was brave in the face of danger .,dia begitu berani di hadapan mara bahaya .
2614,Tom was waiting for someone outside.,Tom sedang menunggu seseorang di luar.,(S (NP (NNP Tom)) (VP (VBD was) (VP (VBG waiting) (PP (IN for) (NP (NP (NN someone)) (ADVP (RB outside)))))) (. .)),simple,tom was waiting for someone outside .,tom sedang menunggu seseorang di luar .
619,Tell me about your plan.,Beritahu aku tentang rencanamu.,(S (VP (VB Tell) (NP (PRP me)) (PP (IN about) (NP (PRP$ your) (NN plan)))) (. .)),simple,tell me about your plan .,beritahu aku tentang rencanamu .
3609,My life would be completely empty without you.,Hidupku hampa tanpamu.,(S (NP (PRP$ My) (NN life)) (VP (MD would) (VP (VB be) (ADJP (RB completely) (JJ empty)) (PP (IN without) (NP (PRP you))))) (. .)),simple,my life would be completely empty without you .,hidupku hampa tanpamu .
1742,There are no fish in this lake.,Tidak ada ikan di danau ini.,(S (NP (EX There)) (VP (VBP are) (NP (DT no) (NN fish)) (PP (IN in) (NP (DT this) (NN lake)))) (. .)),simple,there are no fish in this lake .,tidak ada ikan di danau ini .
3704,A lot has changed around here since you've left.,Banyak yang berubah di sini semenjak kalian pergi.,(S (NP (DT A) (NN lot)) (VP (VBZ has) (VP (VBN changed) (PP (IN around) (ADVP (RB here))) (SBAR (IN since) (S (NP (PRP you)) (VP (VBP 've) (VP (VBN left))))))) (. .)),complex,a lot has changed around here since you ve left .,banyak yang berubah di sini semenjak kalian pergi .
2990,Water freezes at 32 degrees Fahrenheit.,Air membeku pada suhu 32 derajat Fahrenheit.,(S (NP (NN Water)) (VP (VBZ freezes) (PP (IN at) (NP (NP (CD 32) (NNS degrees)) (NNP Fahrenheit)))) (. .)),simple,water freezes at degrees fahrenheit .,air membeku pada suhu derajat fahrenheit .
1847,I apologize for having to leave.,Saya meminta maaf karena harus pergi.,(S (NP (PRP I)) (VP (VBP apologize) (PP (IN for) (S (VP (VBG having) (S (VP (TO to) (VP (VB leave)))))))) (. .)),simple,i apologize for having to leave .,saya meminta maaf karena harus pergi .
1579,There is a radio on the table.,Ada sebuah radio di atas meja.,(S (NP (EX There)) (VP (VBZ is) (NP (DT a) (NN radio)) (PP (IN on) (NP (DT the) (NN table)))) (. .)),simple,there is a radio on the table .,ada sebuah radio di atas meja .
1655,He is often absent from school.,Dia sering absen dari sekolah.,(S (NP (PRP He)) (VP (VBZ is) (ADVP (RB often)) (ADJP (JJ absent) (PP (IN from) (NP (NN school))))) (. .)),simple,he is often absent from school .,dia sering absen dari sekolah .
2212,I've got to go to church tomorrow.,Aku harus pergi ke gereja besok.,(S (NP (PRP I)) (VP (VBP 've) (VP (VBN got) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (NN church))) (NP (NN tomorrow))))))) (. .)),simple,i ve got to go to church tomorrow .,aku harus pergi ke gereja besok .
2020,He was satisfied with the result.,Dia puas dengan hasilnya.,(S (NP (PRP He)) (VP (VBD was) (ADJP (VBN satisfied) (PP (IN with) (NP (DT the) (NN result))))) (. .)),simple,he was satisfied with the result .,dia puas dengan hasilnya .
1956,Tom slowly walked up the stairs.,Tom menaiki tangga secara perlahan.,(S (NP (NNP Tom)) (ADVP (RB slowly)) (VP (VBD walked) (PP (IN up) (NP (DT the) (NNS stairs)))) (. .)),simple,tom slowly walked up the stairs .,tom menaiki tangga secara perlahan .
1307,Everybody speaks well of her.,Semua orang memuji dirinya.,(S (NP (NN Everybody)) (VP (VBZ speaks) (ADVP (RB well)) (PP (IN of) (NP (PRP her)))) (. .)),simple,everybody speaks well of her .,semua orang memuji dirinya .
2003,Can I stay at your place tonight?,Boleh aku menginap di tempatmu malam ini?,(SQ (MD Can) (NP (PRP I)) (VP (VB stay) (PP (IN at) (NP (PRP$ your) (NN place))) (NP (NN tonight))) (. ?)),simple,can i stay at your place tonight ?,boleh aku menginap di tempatmu malam ini ?
575,I had no one to turn to.,Tidak ada seorang pun yang bisa kutemui.,(S (NP (PRP I)) (VP (VBD had) (NP (NP (DT no) (NN one)) (SBAR (S (VP (TO to) (VP (VB turn) (PP (IN to)))))))) (. .)),complex,i had no one to turn to .,tidak ada seorang pun yang bisa kutemui .
1706,"If it rains, I'll stay at home.","Jika hujan, aku akan tinggal di rumah.","(S (SBAR (IN If) (S (NP (PRP it)) (VP (VBZ rains)))) (, ,) (NP (PRP I)) (VP (MD 'll) (VP (VB stay) (PP (IN at) (NP (NN home))))) (. .))",complex,if it rains i ll stay at home .,jika hujan aku akan tinggal di rumah .
2775,I agree with your opinion about taxes.,Saya setuju dengan pendapat Anda mengenai pajak.,(S (NP (PRP I)) (VP (VBP agree) (PP (IN with) (NP (NP (PRP$ your) (NN opinion)) (PP (IN about) (NP (NNS taxes)))))) (. .)),simple,i agree with your opinion about taxes .,saya setuju dengan pendapat anda mengenai pajak .
2577,There is a dragonfly on the ceiling.,Ada capung di langit-langit.,(S (NP (EX There)) (VP (VBZ is) (NP (DT a) (NN dragonfly)) (PP (IN on) (NP (DT the) (NN ceiling)))) (. .)),simple,there is a dragonfly on the ceiling .,ada capung di langit langit .
3339,I thought that you didn't care about money.,Aku pikir kamu tidak peduli tentang uang.,(S (NP (PRP I)) (VP (VBD thought) (SBAR (IN that) (S (NP (PRP you)) (VP (VBD did) (RB n't) (VP (VB care) (PP (IN about) (NP (NN money)))))))) (. .)),complex,i thought that you didn t care about money .,aku pikir kamu tidak peduli tentang uang .
861,He's standing on his head.,Dia berdiri di atas kepalanya.,(S (NP (PRP He)) (VP (VBZ 's) (VP (VBG standing) (PP (IN on) (NP (PRP$ his) (NN head))))) (. .)),simple,he s standing on his head .,dia berdiri di atas kepalanya .
1801,Why do bees die after stinging?,Mengapa lebah mati setelah menyengat?,(SBARQ (WHADVP (WRB Why)) (SQ (VBP do) (NP (NNS bees)) (VP (VB die) (PP (IN after) (S (VP (VBG stinging)))))) (. ?)),simple,why do bees die after stinging ?,mengapa lebah mati setelah menyengat ?
1628,Who does your laundry for you?,Siapa yang mencucikan bajumu?,(SBARQ (WHNP (WP Who)) (SQ (VBZ does) (NP (PRP$ your) (NN laundry)) (PP (IN for) (NP (PRP you)))) (. ?)),simple,who does your laundry for you ?,siapa yang mencucikan bajumu ?
1993,Your chair is identical to mine.,Kursimu sama persis dengan milikku.,(S (NP (PRP$ Your) (NN chair)) (VP (VBZ is) (ADJP (JJ identical) (PP (IN to) (NP (PRP mine))))) (. .)),simple,your chair is identical to mine .,kursimu sama persis dengan milikku .
269,I know all about you.,Aku tahu semua tentangmu.,(S (NP (PRP I)) (VP (VBP know) (PP (ADVP (DT all)) (IN about) (NP (PRP you)))) (. .)),simple,i know all about you .,aku tahu semua tentangmu .
629,The key is on the table.,Kuncinya ada di atas meja.,(S (NP (DT The) (NN key)) (VP (VBZ is) (PP (IN on) (NP (DT the) (NN table)))) (. .)),simple,the key is on the table .,kuncinya ada di atas meja .
300,Tom fell off a cliff.,Tom terjatuh dari tebing.,(S (NP (NNP Tom)) (VP (VBD fell) (PP (IN off) (NP (DT a) (NN cliff)))) (. .)),simple,tom fell off a cliff .,tom terjatuh dari tebing .
4283,Popcorn is very inexpensive when compared to many other snack foods. It's also usually healthier.,"Popcorn sangat murah jika dibandingkan dengan banyak camilan lainnya, dan biasanya juga lebih sehat.",(S (NP (NN Popcorn)) (VP (VBZ is) (ADJP (RB very) (JJ inexpensive)) (SBAR (WHADVP (WRB when)) (PP (VBN compared) (PP (IN to) (NP (JJ many) (JJ other) (NN snack) (NNS foods)))))) (. .)),complex,popcorn is very inexpensive when compared to many other snack foods . it s also usually healthier .,popcorn sangat murah jika dibandingkan dengan banyak camilan lainnya dan biasanya juga lebih sehat .
1447,We live very near the school.,Kami tinggal sangat dekat dengan sekolah.,(S (NP (PRP We)) (VP (VBP live) (PP (ADVP (RB very)) (IN near) (NP (DT the) (NN school)))) (. .)),simple,we live very near the school .,kami tinggal sangat dekat dengan sekolah .
1472,Feta cheese has a lot of salt.,Keju feta mengandung banyak garam.,(S (NP (NN Feta) (NN cheese)) (VP (VBZ has) (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN salt))))) (. .)),simple,feta cheese has a lot of salt .,keju feta mengandung banyak garam .
2046,I recommend this brand of coffee.,Aku merekomendasikan merek kopi ini.,(S (NP (PRP I)) (VP (VBP recommend) (NP (NP (DT this) (NN brand)) (PP (IN of) (NP (NN coffee))))) (. .)),simple,i recommend this brand of coffee .,aku merekomendasikan merek kopi ini .
3194,Tom asked Mary to go to a movie with him.,Tom mengajak Mary pergi menonton film bersamanya.,(S (NP (NNP Tom)) (VP (VBD asked) (NP (NNP Mary)) (S (VP (TO to) (VP (VB go) (PP (IN to) (NP (DT a) (NN movie))) (PP (IN with) (NP (PRP him))))))) (. .)),simple,tom asked mary to go to a movie with him .,tom mengajak mary pergi menonton film bersamanya .
4199,The teacher pointed out several mistakes in my English composition.,Guruku menunjukkan beberapa kesalahan dalam karangan bahasa Inggrisku.,(S (NP (DT The) (NN teacher)) (VP (VBD pointed) (PRT (RP out)) (NP (NP (JJ several) (NNS mistakes)) (PP (IN in) (NP (PRP$ my) (NNP English) (NN composition))))) (. .)),simple,the teacher pointed out several mistakes in my english composition .,guruku menunjukkan beberapa kesalahan dalam karangan bahasa inggrisku .
2113,Tom lives alone in a large house.,Tom tinggal sendiri di rumah yang besar,(S (NP (NNP Tom)) (VP (VBZ lives) (ADVP (RB alone)) (PP (IN in) (NP (DT a) (JJ large) (NN house)))) (. .)),simple,tom lives alone in a large house .,tom tinggal sendiri di rumah yang besar
3326,I couldn't remember the title of that song.,Aku tidak dapat mengingat judul lagu itu.,(S (NP (PRP I)) (VP (MD could) (RB n't) (VP (VB remember) (NP (NP (DT the) (NN title)) (PP (IN of) (NP (DT that) (NN song)))))) (. .)),simple,i couldn t remember the title of that song .,aku tidak dapat mengingat judul lagu itu .
3500,You're the only one I can count on for help.,Kamu satu-satunya yang bisa aku andalkan untuk membantuku.,(S (NP (PRP You)) (VP (VBP 're) (NP (NP (DT the) (JJ only) (NN one)) (SBAR (S (NP (PRP I)) (VP (MD can) (VP (VB count) (PP (IN on)) (PP (IN for) (NP (NN help))))))))) (. .)),complex,you re the only one i can count on for help .,kamu satu satunya yang bisa aku andalkan untuk membantuku .
3926,Can you wake me up at seven o'clock tomorrow morning?,Bisakah kamu membangunkanku pukul tujuh besok pagi?,(SQ (MD Can) (NP (PRP you)) (VP (VB wake) (NP (PRP me)) (PRT (RP up)) (PP (IN at) (NP (CD seven) (NN o'clock))) (NP (NN tomorrow) (NN morning))) (. ?)),simple,can you wake me up at seven o clock tomorrow morning ?,bisakah kamu membangunkanku pukul tujuh besok pagi ?
2836,There's a rivalry between our schools.,Ada persaingan antara sekolah kita.,(S (NP (EX There)) (VP (VBZ 's) (NP (NP (DT a) (NN rivalry)) (PP (IN between) (NP (PRP$ our) (NNS schools))))) (. .)),simple,there s a rivalry between our schools .,ada persaingan antara sekolah kita .
2008,Coffee will be ready in a minute.,Kopinya akan siap dalam satu menit.,(S (NP (NN Coffee)) (VP (MD will) (VP (VB be) (ADJP (JJ ready)) (PP (IN in) (NP (DT a) (NN minute))))) (. .)),simple,coffee will be ready in a minute .,kopinya akan siap dalam satu menit .
4217,Tom has been meaning to clean out his badly cluttered garage for years.,Tom berniat untuk membersihkan garasinya yang sudah tidak dibersihkan selama bertahun tahun,(S (NP (NNP Tom)) (VP (VBZ has) (VP (VBN been) (VP (VBG meaning) (S (VP (TO to) (VP (VB clean) (PRT (RP out)) (NP (PRP$ his) (ADJP (RB badly) (JJ cluttered)) (NN garage))))) (PP (IN for) (NP (NNS years)))))) (. .)),simple,tom has been meaning to clean out his badly cluttered garage for years .,tom berniat untuk membersihkan garasinya yang sudah tidak dibersihkan selama bertahun tahun
503,The train came on time.,Keretanya tiba tepat waktu.,(S (NP (DT The) (NN train)) (VP (VBD came) (PP (IN on) (NP (NN time)))) (. .)),simple,the train came on time .,keretanya tiba tepat waktu .
2691,Stop spending money on stupid things.,Berhentilah mengeluarkan uang untuk hal yang tidak penting.,(S (VP (VB Stop) (S (VP (VBG spending) (NP (NN money)) (PP (IN on) (NP (JJ stupid) (NNS things)))))) (. .)),simple,stop spending money on stupid things .,berhentilah mengeluarkan uang untuk hal yang tidak penting .
3114,Does Tom know how much you paid for that?,Apakah Tom tahu berapa banyak yang kamu keluarkan untuk itu?,(SQ (VBZ Does) (NP (NNP Tom)) (VP (VB know) (SBAR (WHNP (WRB how) (JJ much)) (S (NP (PRP you)) (VP (VBD paid) (PP (IN for) (NP (DT that))))))) (. ?)),complex,does tom know how much you paid for that ?,apakah tom tahu berapa banyak yang kamu keluarkan untuk itu ?
380,I've been to the bank.,Aku baru saja pergi ke bank.,(S (NP (PRP I)) (VP (VBP 've) (VP (VBN been) (PP (IN to) (NP (DT the) (NN bank))))) (. .)),simple,i ve been to the bank .,aku baru saja pergi ke bank .
3850,I ran across a rare book in a secondhand bookstore.,Aku kebetulan menemukan sebuah buku yang langka di toko buku bekas.,(S (NP (PRP I)) (VP (VBD ran) (PP (IN across) (NP (NP (DT a) (JJ rare) (NN book)) (PP (IN in) (NP (DT a) (JJ secondhand) (NN bookstore)))))) (. .)),simple,i ran across a rare book in a secondhand bookstore .,aku kebetulan menemukan sebuah buku yang langka di toko buku bekas .
1525,I'm extremely grateful to you.,Saya benar-benar sangat berterima kasih,(S (NP (PRP I)) (VP (VBP 'm) (ADJP (RB extremely) (JJ grateful) (PP (IN to) (NP (PRP you))))) (. .)),simple,i m extremely grateful to you .,saya benar benar sangat berterima kasih
4288,Tom got in with the wrong crowd during his teenage years and was arrested for car theft several times.,Tom terjerumus ke dalam pergaulan yang salah di masa remaja dan pernah beberapa kali ditangkap karena kasus pencurian mobil.,(S (NP (NNP Tom)) (VP (VP (VBD got) (PRT (RP in)) (PP (IN with) (NP (DT the) (JJ wrong) (NN crowd))) (PP (IN during) (NP (PRP$ his) (JJ teenage) (NNS years)))) (CC and) (VP (VBD was) (VP (VBN arrested) (PP (IN for) (NP (NN car) (NN theft))) (NP (JJ several) (NNS times))))) (. .)),simple,tom got in with the wrong crowd during his teenage years and was arrested for car theft several times .,tom terjerumus ke dalam pergaulan yang salah di masa remaja dan pernah beberapa kali ditangkap karena kasus pencurian mobil .
374,I will give it to you.,Aku akan memberikannya kepadamu.,(S (NP (PRP I)) (VP (MD will) (VP (VB give) (NP (PRP it)) (PP (IN to) (NP (PRP you))))) (. .)),simple,i will give it to you .,aku akan memberikannya kepadamu .
2415,There were no radios in those days.,Tidak ada radio pada saat itu.,(S (NP (EX There)) (VP (VBD were) (NP (DT no) (NNS radios)) (PP (IN in) (NP (DT those) (NNS days)))) (. .)),simple,there were no radios in those days .,tidak ada radio pada saat itu .
3321,How long have you been waiting for the bus?,Sudah berapa lama menunggu bus?,(SBARQ (WHADVP (WRB How) (RB long)) (SQ (VBP have) (NP (PRP you)) (VP (VBN been) (VP (VBG waiting) (PP (IN for) (NP (DT the) (NN bus)))))) (. ?)),simple,how long have you been waiting for the bus ?,sudah berapa lama menunggu bus ?
939,Tom is first in his class.,Tom nomor satu di kelasnya.,(S (NP (NNP Tom)) (VP (VBZ is) (ADJP (JJ first)) (PP (IN in) (NP (PRP$ his) (NN class)))) (. .)),simple,tom is first in his class .,tom nomor satu di kelasnya .
3340,I'm in no position to do anything about it.,Saya tidak punya kapasitas untuk mengatasi hal ini.,(S (NP (PRP I)) (VP (VBP 'm) (PP (IN in) (NP (NP (DT no) (NN position)) (SBAR (S (VP (TO to) (VP (VB do) (NP (NN anything)) (PP (IN about) (NP (PRP it)))))))))) (. .)),complex,i m in no position to do anything about it .,saya tidak punya kapasitas untuk mengatasi hal ini .
3918,We could go to Australia with you if you want us to.,Kita bisa pergi ke Australia bersamamu jika kamu mau.,(S (NP (PRP We)) (VP (MD could) (VP (VB go) (PP (IN to) (NP (NNP Australia))) (PP (IN with) (NP (PRP you))) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP want) (S (NP (PRP us)) (VP (TO to)))))))) (. .)),complex,we could go to australia with you if you want us to .,kita bisa pergi ke australia bersamamu jika kamu mau .
2147,You can't come to Boston with me.,Kau tidak bisa pergi ke Boston denganku.,(S (NP (PRP You)) (VP (MD ca) (RB n't) (VP (VB come) (PP (IN to) (NP (NNP Boston))) (PP (IN with) (NP (PRP me))))) (. .)),simple,you can t come to boston with me .,kau tidak bisa pergi ke boston denganku .
3564,You had better not speak loudly in this room.,Lebih baik kamu jangan bicara keras-keras di ruangan ini.,(S (NP (PRP You)) (VP (VBD had) (ADVP (RBR better)) (RB not) (VP (VB speak) (ADVP (RB loudly)) (PP (IN in) (NP (DT this) (NN room))))) (. .)),simple,you had better not speak loudly in this room .,lebih baik kamu jangan bicara keras keras di ruangan ini .
2068,New Hampshire is next to Vermont.,New Hampshire ada di sebelah Vermont.,(S (NP (NNP New) (NNP Hampshire)) (VP (VBZ is) (ADVP (JJ next) (PP (IN to) (NP (NNP Vermont))))) (. .)),simple,new hampshire is next to vermont .,new hampshire ada di sebelah vermont .
529,Tom won't be mad at us.,Tom tidak akan marah kepada kita,(S (NP (NNP Tom)) (VP (MD wo) (RB n't) (VP (VB be) (ADJP (JJ mad) (PP (IN at) (NP (PRP us)))))) (. .)),simple,tom won t be mad at us .,tom tidak akan marah kepada kita
3333,"I knocked on the door, but no one answered.","Saya mengetuk pintu, tapi tidak ada orang yang menjawab.","(S (S (NP (PRP I)) (VP (VBD knocked) (PP (IN on) (NP (DT the) (NN door))))) (, ,) (CC but) (S (NP (DT no) (PRP one)) (VP (VBD answered))) (. .))",compound,i knocked on the door but no one answered .,saya mengetuk pintu tapi tidak ada orang yang menjawab .
636,Tom died of lung cancer.,Tom meninggal karena kanker paru-paru.,(S (NP (NNP Tom)) (VP (VBD died) (PP (IN of) (NP (NN lung) (NN cancer)))) (. .)),simple,tom died of lung cancer .,tom meninggal karena kanker paru paru .
1269,What is the matter with you?,Ada apa denganmu?,(SBARQ (WHNP (WP What)) (SQ (VBZ is) (NP (DT the) (NN matter)) (PP (IN with) (NP (PRP you)))) (. ?)),simple,what is the matter with you ?,ada apa denganmu ?
185,Divide this in half.,Bagilah ini menjadi dua.,(S (VP (VB Divide) (NP (DT this)) (PP (IN in) (NP (NN half)))) (. .)),simple,divide this in half .,bagilah ini menjadi dua .
3182,There is little food in the refrigerator.,Hanya ada sedikit makanan di dalam kulkas.,(S (NP (EX There)) (VP (VBZ is) (NP (JJ little) (NN food)) (PP (IN in) (NP (DT the) (NN refrigerator)))) (. .)),simple,there is little food in the refrigerator .,hanya ada sedikit makanan di dalam kulkas .
2351,I don't see what's wrong with that.,Aku tidak tahu apa yang salah dengan itu.,(S (NP (PRP I)) (VP (VBP do) (RB n't) (VP (VB see) (SBAR (WHNP (WP what)) (S (VP (VBZ 's) (ADJP (JJ wrong) (PP (IN with) (NP (DT that))))))))) (. .)),complex,i don t see what s wrong with that .,aku tidak tahu apa yang salah dengan itu .
4020,Customs officials carried out a full body search on Tom.,Petugas Bea dan Cukai melakukan pemeriksaan badan terhadap Tom.,(S (NP (NNS Customs) (NNS officials)) (VP (VBD carried) (PRT (RP out)) (NP (NP (DT a) (NML (JJ full) (NN body)) (NN search)) (PP (IN on) (NP (NNP Tom))))) (. .)),simple,customs officials carried out a full body search on tom .,petugas bea dan cukai melakukan pemeriksaan badan terhadap tom .
1797,What kind of historian are you?,Sejarawan macam apa Anda?,(SBARQ (WHNP (WHNP (WP What) (NN kind)) (PP (IN of) (NP (NN historian)))) (SQ (VBP are) (NP (PRP you))) (. ?)),simple,what kind of historian are you ?,sejarawan macam apa anda ?
1441,Tom won't have lunch with us.,Tom tidak akan makan siang dengan kita.,(S (NP (NNP Tom)) (VP (MD wo) (RB n't) (VP (VB have) (NP (NN lunch)) (PP (IN with) (NP (PRP us))))) (. .)),simple,tom won t have lunch with us .,tom tidak akan makan siang dengan kita .
1535,Let me talk to Tom about this.,Coba saya bicarakan hal ini ke Tom.,(S (VP (VB Let) (S (NP (PRP me)) (VP (VB talk) (PP (IN to) (NP (NNP Tom))) (PP (IN about) (NP (DT this)))))) (. .)),simple,let me talk to tom about this .,coba saya bicarakan hal ini ke tom .
